N,P,K,temperature,humidity,ph,rainfall,label
23,30,20,28.37321411,90.24433834,6.560444896,83.36511437,maize
29,35,30,28.36649185,90.41545109,6.824981528,82.62809147,maize
21,30,25,28.56245138,90.20914342,6.462419175,81.60432108,maize
26,25,20,28.51552346,90.15795726,6.469009223,80.55035434,maize
24,30,30,28.37321411,90.24433834,6.560444896,83.36511437,maize
22,35,25,28.36649185,90.41545109,6.824981528,82.62809147,maize
28,30,20,28.56245138,90.20914342,6.462419175,81.60432108,maize
25,25,30,28.51552346,90.15795726,6.469009223,80.55035434,maize
27,30,25,28.37321411,90.24433834,6.560444896,83.36511437,maize
23,35,20,28.36649185,90.41545109,6.824981528,82.62809147,maize
26,30,30,28.56245138,90.20914342,6.462419175,81.60432108,maize
18,30,18,25.603243,71.308779,6.317146,6.985476735,chickpea
20,25,20,25.512304,70.817671,6.469009,7.174208,chickpea
22,28,22,25.308642,71.158116,6.560445,6.985477,chickpea
19,30,19,25.603243,71.308779,6.317146,7.174208,chickpea
21,25,21,25.512304,70.817671,6.469009,6.985477,chickpea
23,28,23,25.308642,71.158116,6.560445,7.174208,chickpea
20,30,20,25.603243,71.308779,6.317146,6.985477,chickpea
22,25,22,25.512304,70.817671,6.469009,7.174208,chickpea
24,28,24,25.308642,71.158116,6.560445,6.985477,chickpea
19,30,19,25.603243,71.308779,6.317146,7.174208,chickpea
21,25,21,25.512304,70.817671,6.469009,6.985477,chickpea
23,28,23,25.308642,71.158116,6.560445,7.174208,chickpea
20,30,20,25.603243,71.308779,6.317146,6.985477,chickpea
22,25,22,25.512304,70.817671,6.469009,7.174208,chickpea
24,28,24,25.308642,71.158116,6.560445,6.985477,chickpea
19,30,19,25.603243,71.308779,6.317146,7.174208,chickpea
21,25,21,25.512304,70.817671,6.469009,6.985477,chickpea
23,28,23,25.308642,71.158116,6.560445,7.174208,chickpea
20,30,20,25.603243,71.308779,6.317146,6.985477,chickpea
22,25,22,25.512304,70.817671,6.469009,7.174208,chickpea
24,28,24,25.308642,71.158116,6.560445,6.985477,chickpea
50,50,50,22.76100573,60.4132239,7.840207144,101.8367396,kidneybeans
48,48,48,22.97407547,60.4132239,7.840207144,101.8367396,kidneybeans
52,52,52,22.76100573,60.4132239,7.840207144,101.8367396,kidneybeans
49,49,49,22.97407547,60.4132239,7.840207144,101.8367396,kidneybeans
51,51,51,22.76100573,60.4132239,7.840207144,101.8367396,kidneybeans
47,47,47,22.97407547,60.4132239,7.840207144,101.8367396,kidneybeans
53,53,53,22.76100573,60.4132239,7.840207144,101.8367396,kidneybeans
50,50,50,22.97407547,60.4132239,7.840207144,101.8367396,kidneybeans
48,48,48,22.76100573,60.4132239,7.840207144,101.8367396,kidneybeans
52,52,52,22.97407547,60.4132239,7.840207144,101.8367396,kidneybeans
49,49,49,22.76100573,60.4132239,7.840207144,101.8367396,kidneybeans
51,51,51,22.97407547,60.4132239,7.840207144,101.8367396,kidneybeans
47,47,47,22.76100573,60.4132239,7.840207144,101.8367396,kidneybeans
53,53,53,22.97407547,60.4132239,7.840207144,101.8367396,kidneybeans
50,50,50,22.76100573,60.4132239,7.840207144,101.8367396,kidneybeans
48,48,48,22.97407547,60.4132239,7.840207144,101.8367396,kidneybeans
52,52,52,22.76100573,60.4132239,7.840207144,101.8367396,kidneybeans
49,49,49,22.97407547,60.4132239,7.840207144,101.8367396,kidneybeans
51,51,51,22.76100573,60.4132239,7.840207144,101.8367396,kidneybeans
47,47,47,22.97407547,60.4132239,7.840207144,101.8367396,kidneybeans
80,50,50,23.00445915,82.3207629,6.469009223,200.2837621,pigeonpeas
82,52,52,23.05804862,83.37011772,6.560444896,201.9355362,pigeonpeas
78,48,48,25.72488146,80.52720889,6.824981528,202.6555374,pigeonpeas
85,50,50,23.67798382,82.20902002,6.462419175,203.9642476,pigeonpeas
81,51,51,26.04418141,80.23658728,6.469009223,204.8640342,pigeonpeas
83,49,49,25.14174008,79.64890332,6.560444896,205.7173405,pigeonpeas
79,50,50,20.94792523,82.84216404,6.824981528,206.0550003,pigeonpeas
84,52,52,22.6748805,80.56947326,6.462419175,207.3022937,pigeonpeas
80,48,48,25.52823813,79.58354739,6.469009223,208.3248603,pigeonpeas
82,50,50,23.00346093,82.67628175,6.560444896,209.6391117,pigeonpeas
78,51,51,20.13017481,81.60487287,6.824981528,210.5091412,pigeonpeas
85,49,49,23.05804862,83.37011772,6.462419175,211.5259657,pigeonpeas
81,50,50,25.72488146,80.52720889,6.469009223,212.071499,pigeonpeas
83,52,52,23.67798382,82.20902002,6.560444896,213.4742192,pigeonpeas
79,48,48,26.04418141,80.23658728,6.824981528,214.9355362,pigeonpeas
84,50,50,25.14174008,79.64890332,6.462419175,215.9642476,pigeonpeas
80,51,51,20.94792523,82.84216404,6.469009223,216.0550003,pigeonpeas
82,49,49,22.6748805,80.56947326,6.560444896,217.3022937,pigeonpeas
78,50,50,25.52823813,79.58354739,6.824981528,218.3248603,pigeonpeas
85,52,52,23.00346093,82.67628175,6.462419175,219.6391117,pigeonpeas
26,52,35,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
28,50,38,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
24,54,32,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
27,51,36,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
25,53,34,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
29,49,40,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
23,55,30,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
26,52,35,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
28,50,38,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
24,54,32,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
27,51,36,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
25,53,34,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
29,49,40,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
23,55,30,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
26,52,35,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
28,50,38,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
24,54,32,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
27,51,36,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
25,53,34,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
29,49,40,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
23,55,30,20.41526275,25.022209,7.840207144,80.96393775,mothbeans
34,34,35,23.00445915,82.3207629,6.502985292,60.40534368,mungbean
36,36,37,23.05804862,83.37011772,7.038096361,61.36511437,mungbean
32,32,33,25.72488146,80.52720889,7.840207144,62.62809147,mungbean
35,35,36,23.67798382,82.20902002,6.980400905,63.60432108,mungbean
33,33,34,26.04418141,80.23658728,7.628472891,64.55035434,mungbean
37,37,38,25.14174008,79.64890332,7.073453503,65.6391117,mungbean
31,31,32,20.94792523,82.84216404,7.591135541,66.5091412,mungbean
34,34,35,22.6748805,80.56947326,6.670175325,67.5259657,mungbean
36,36,37,25.52823813,79.58354739,6.974564405,68.071499,mungbean
32,32,33,23.00346093,82.67628175,6.977443425,69.4742192,mungbean
35,35,36,20.13017481,81.60487287,6.343144295,70.9355362,mungbean
33,33,34,23.05804862,83.37011772,7.454503739,71.9642476,mungbean
37,37,38,25.72488146,80.52720889,6.670887075,72.0550003,mungbean
31,31,32,23.67798382,82.20902002,7.07143199,73.3022937,mungbean
34,34,35,26.04418141,80.23658728,6.670175325,74.3248603,mungbean
36,36,37,25.14174008,79.64890332,7.628472891,75.6391117,mungbean
32,32,33,20.94792523,82.84216404,7.073453503,76.5091412,mungbean
35,35,36,22.6748805,80.56947326,7.591135541,77.5259657,mungbean
33,33,34,25.52823813,79.58354739,6.974564405,78.071499,mungbean
37,37,38,23.00346093,82.67628175,6.977443425,79.4742192,mungbean
31,31,32,20.13017481,81.60487287,6.343144295,80.9355362,mungbean
100,40,40,20.87974371,82.00274423,6.502985292,174.5075093,blackgram
98,42,42,21.77046169,80.31964408,7.038096361,175.6555374,blackgram
102,38,38,23.00445915,82.3207629,7.840207144,176.9642476,blackgram
99,41,41,26.49109635,80.15836264,6.980400905,177.8640342,blackgram
101,39,39,20.13017481,81.60487287,7.628472891,178.7173405,blackgram
97,43,43,23.05804862,83.37011772,7.073453503,179.0550003,blackgram
103,37,37,25.72488146,80.52720889,7.591135541,180.7174406,blackgram
100,40,40,23.67798382,82.20902002,6.670175325,181.3022937,blackgram
98,42,42,26.04418141,80.23658728,6.974564405,182.3248603,blackgram
102,38,38,25.14174008,79.64890332,6.977443425,183.6391117,blackgram
99,41,41,20.94792523,82.84216404,6.343144295,184.5091412,blackgram
101,39,39,22.6748805,80.56947326,7.454503739,185.5259657,blackgram
97,43,43,25.52823813,79.58354739,6.670887075,186.071499,blackgram
103,37,37,23.00346093,82.67628175,7.07143199,187.3022937,blackgram
100,40,40,20.13017481,81.60487287,6.670175325,188.3248603,blackgram
98,42,42,23.05804862,83.37011772,7.628472891,189.6391117,blackgram
102,38,38,25.72488146,80.52720889,7.073453503,190.5091412,blackgram
99,41,41,23.67798382,82.20902002,7.591135541,191.5259657,blackgram
101,39,39,26.04418141,80.23658728,6.974564405,192.071499,blackgram
97,43,43,25.14174008,79.64890332,6.977443425,193.4742192,blackgram
103,37,37,20.94792523,82.84216404,6.343144295,194.9355362,blackgram
45,45,45,20.13017481,81.60487287,6.502985292,80.55035434,lentil
47,47,47,23.05804862,83.37011772,7.038096361,81.36511437,lentil
43,43,43,25.72488146,80.52720889,7.840207144,82.62809147,lentil
46,46,46,23.67798382,82.20902002,6.980400905,83.60432108,lentil
44,44,44,26.04418141,80.23658728,7.628472891,84.55035434,lentil
48,48,48,25.14174008,79.64890332,7.073453503,85.6391117,lentil
42,42,42,20.94792523,82.84216404,7.591135541,86.5091412,lentil
45,45,45,22.6748805,80.56947326,6.670175325,87.5259657,lentil
47,47,47,25.52823813,79.58354739,6.974564405,88.071499,lentil
43,43,43,23.00346093,82.67628175,6.977443425,89.4742192,lentil
46,46,46,20.13017481,81.60487287,6.343144295,90.9355362,lentil
44,44,44,23.05804862,83.37011772,7.454503739,91.9642476,lentil
48,48,48,25.72488146,80.52720889,6.670887075,92.0550003,lentil
42,42,42,23.67798382,82.20902002,7.07143199,93.3022937,lentil
45,45,45,26.04418141,80.23658728,6.670175325,94.3248603,lentil
47,47,47,25.14174008,79.64890332,7.628472891,95.6391117,lentil
43,43,43,20.94792523,82.84216404,7.073453503,96.5091412,lentil
46,46,46,22.6748805,80.56947326,7.591135541,97.5259657,lentil
44,44,44,25.52823813,79.58354739,6.974564405,98.071499,lentil
48,48,48,23.00346093,82.67628175,6.977443425,99.4742192,lentil
42,42,42,20.13017481,81.60487287,6.343144295,100.9355362,lentil
70,70,70,25.603243,71.308779,6.317146,104.4599778,pomegranate
72,72,72,25.512304,70.817671,6.469009,105.174208,pomegranate
68,68,68,25.308642,71.158116,6.560445,106.985477,pomegranate
71,71,71,25.603243,71.308779,6.317146,107.174208,pomegranate
69,69,69,25.512304,70.817671,6.469009,108.985477,pomegranate
73,73,73,25.308642,71.158116,6.560445,109.174208,pomegranate
67,67,67,25.603243,71.308779,6.317146,110.985477,pomegranate
70,70,70,25.512304,70.817671,6.469009,111.174208,pomegranate
72,72,72,25.308642,71.158116,6.560445,112.985477,pomegranate
68,68,68,25.603243,71.308779,6.317146,113.174208,pomegranate
71,71,71,25.512304,70.817671,6.469009,114.985477,pomegranate
69,69,69,25.308642,71.158116,6.560445,115.174208,pomegranate
73,73,73,25.603243,71.308779,6.317146,116.985477,pomegranate
67,67,67,25.512304,70.817671,6.469009,117.174208,pomegranate
70,70,70,25.308642,71.158116,6.560445,118.985477,pomegranate
72,72,72,25.603243,71.308779,6.317146,119.174208,pomegranate
68,68,68,25.512304,70.817671,6.469009,120.985477,pomegranate
71,71,71,25.308642,71.158116,6.560445,121.174208,pomegranate
69,69,69,25.603243,71.308779,6.317146,122.985477,pomegranate
73,73,73,25.512304,70.817671,6.469009,123.174208,pomegranate
67,67,67,25.308642,71.158116,6.560445,124.985477,pomegranate
115,58,46,25.603243,71.308779,6.317146,104.4599778,banana
117,60,48,25.512304,70.817671,6.469009,105.174208,banana
113,56,44,25.308642,71.158116,6.560445,106.985477,banana
116,59,47,25.603243,71.308779,6.317146,107.174208,banana
114,57,45,25.512304,70.817671,6.469009,108.985477,banana
118,61,49,25.308642,71.158116,6.560445,109.174208,banana
112,55,43,25.603243,71.308779,6.317146,110.985477,banana
115,58,46,25.512304,70.817671,6.469009,111.174208,banana
117,60,48,25.308642,71.158116,6.560445,112.985477,banana
113,56,44,25.603243,71.308779,6.317146,113.174208,banana
116,59,47,25.512304,70.817671,6.469009,114.985477,banana
114,57,45,25.308642,71.158116,6.560445,115.174208,banana
118,61,49,25.603243,71.308779,6.317146,116.985477,banana
112,55,43,25.512304,70.817671,6.469009,117.174208,banana
115,58,46,25.308642,71.158116,6.560445,118.985477,banana
117,60,48,25.603243,71.308779,6.317146,119.174208,banana
113,56,44,25.512304,70.817671,6.469009,120.985477,banana
116,59,47,25.308642,71.158116,6.560445,121.174208,banana
114,57,45,25.603243,71.308779,6.317146,122.985477,banana
118,61,49,25.512304,70.817671,6.469009,123.174208,banana
112,55,43,25.308642,71.158116,6.560445,124.985477,banana
110,60,40,25.603243,71.308779,6.317146,104.4599778,mango
112,62,42,25.512304,70.817671,6.469009,105.174208,mango
108,58,38,25.308642,71.158116,6.560445,106.985477,mango
111,61,41,25.603243,71.308779,6.317146,107.174208,mango
109,59,39,25.512304,70.817671,6.469009,108.985477,mango
113,63,43,25.308642,71.158116,6.560445,109.174208,mango
107,57,37,25.603243,71.308779,6.317146,110.985477,mango
110,60,40,25.512304,70.817671,6.469009,111.174208,mango
112,62,42,25.308642,71.158116,6.560445,112.985477,mango
108,58,38,25.603243,71.308779,6.317146,113.174208,mango
111,61,41,25.512304,70.817671,6.469009,114.985477,mango
109,59,39,25.308642,71.158116,6.560445,115.174208,mango
113,63,43,25.603243,71.308779,6.317146,116.985477,mango
107,57,37,25.512304,70.817671,6.469009,117.174208,mango
110,60,40,25.308642,71.158116,6.560445,118.985477,mango
112,62,42,25.603243,71.308779,6.317146,119.174208,mango
108,58,38,25.512304,70.817671,6.469009,120.985477,mango
111,61,41,25.308642,71.158116,6.560445,121.174208,mango
109,59,39,25.603243,71.308779,6.317146,122.985477,mango
113,63,43,25.512304,70.817671,6.469009,123.174208,mango
107,57,37,25.308642,71.158116,6.560445,124.985477,mango
40,40,40,25.603243,71.308779,6.317146,104.4599778,grapes
42,42,42,25.512304,70.817671,6.469009,105.174208,grapes
38,38,38,25.308642,71.158116,6.560445,106.985477,grapes
41,41,41,25.603243,71.308779,6.317146,107.174208,grapes
39,39,39,25.512304,70.817671,6.469009,108.985477,grapes
43,43,43,25.308642,71.158116,6.560445,109.174208,grapes
37,37,37,25.603243,71.308779,6.317146,110.985477,grapes
40,40,40,25.512304,70.817671,6.469009,111.174208,grapes
42,42,42,25.308642,71.158116,6.560445,112.985477,grapes
38,38,38,25.603243,71.308779,6.317146,113.174208,grapes
41,41,41,25.512304,70.817671,6.469009,114.985477,grapes
39,39,39,25.308642,71.158116,6.560445,115.174208,grapes
43,43,43,25.603243,71.308779,6.317146,116.985477,grapes
37,37,37,25.512304,70.817671,6.469009,117.174208,grapes
40,40,40,25.308642,71.158116,6.560445,118.985477,grapes
42,42,42,25.603243,71.308779,6.317146,119.174208,grapes
38,38,38,25.512304,70.817671,6.469009,120.985477,grapes
41,41,41,25.308642,71.158116,6.560445,121.174208,grapes
39,39,39,25.603243,71.308779,6.317146,122.985477,grapes
43,43,43,25.512304,70.817671,6.469009,123.174208,grapes
37,37,37,25.308642,71.158116,6.560445,124.985477,grapes
90,40,40,22.76100573,60.4132239,6.469009223,200.2837621,watermelon
92,42,42,22.97407547,60.4132239,6.560444896,201.9355362,watermelon
88,38,38,22.76100573,60.4132239,6.824981528,202.6555374,watermelon
91,41,41,22.97407547,60.4132239,6.462419175,203.9642476,watermelon
89,39,39,22.76100573,60.4132239,6.469009223,204.8640342,watermelon
93,43,43,22.97407547,60.4132239,6.560444896,205.7173405,watermelon
87,37,37,22.76100573,60.4132239,6.824981528,206.0550003,watermelon
90,40,40,22.97407547,60.4132239,6.462419175,207.3022937,watermelon
92,42,42,22.76100573,60.4132239,6.469009223,208.3248603,watermelon
88,38,38,22.97407547,60.4132239,6.560444896,209.6391117,watermelon
91,41,41,22.76100573,60.4132239,6.824981528,210.5091412,watermelon
89,39,39,22.97407547,60.4132239,6.462419175,211.5259657,watermelon
93,43,43,22.76100573,60.4132239,6.469009223,212.071499,watermelon
87,37,37,22.97407547,60.4132239,6.560444896,213.4742192,watermelon
90,40,40,22.76100573,60.4132239,6.824981528,214.9355362,watermelon
92,42,42,22.97407547,60.4132239,6.462419175,215.9642476,watermelon
88,38,38,22.76100573,60.4132239,6.469009223,216.0550003,watermelon
91,41,41,22.97407547,60.4132239,6.560444896,217.3022937,watermelon
89,39,39,22.76100573,60.4132239,6.824981528,218.3248603,watermelon
93,43,43,22.97407547,60.4132239,6.462419175,219.6391117,watermelon
87,37,37,22.76100573,60.4132239,6.469009223,220.5091412,watermelon
100,50,50,22.76100573,60.4132239,6.469009223,200.2837621,muskmelon
102,52,52,22.97407547,60.4132239,6.560444896,201.9355362,muskmelon
98,48,48,22.76100573,60.4132239,6.824981528,202.6555374,muskmelon
101,51,51,22.97407547,60.4132239,6.462419175,203.9642476,muskmelon
99,49,49,22.76100573,60.4132239,6.469009223,204.8640342,muskmelon
103,53,53,22.97407547,60.4132239,6.560444896,205.7173405,muskmelon
97,47,47,22.76100573,60.4132239,6.824981528,206.0550003,muskmelon
100,50,50,22.97407547,60.4132239,6.462419175,207.3022937,muskmelon
102,52,52,22.76100573,60.4132239,6.469009223,208.3248603,muskmelon
98,48,48,22.97407547,60.4132239,6.560444896,209.6391117,muskmelon
101,51,51,22.76100573,60.4132239,6.824981528,210.5091412,muskmelon
99,49,49,22.97407547,60.4132239,6.462419175,211.5259657,muskmelon
103,53,53,22.76100573,60.4132239,6.469009223,212.071499,muskmelon
97,47,47,22.97407547,60.4132239,6.560444896,213.4742192,muskmelon
100,50,50,22.76100573,60.4132239,6.824981528,214.9355362,muskmelon
102,52,52,22.97407547,60.4132239,6.462419175,215.9642476,muskmelon
98,48,48,22.76100573,60.4132239,6.469009223,216.0550003,muskmelon
101,51,51,22.97407547,60.4132239,6.560444896,217.3022937,muskmelon
99,49,49,22.76100573,60.4132239,6.824981528,218.3248603,muskmelon
103,53,53,22.97407547,60.4132239,6.462419175,219.6391117,muskmelon
97,47,47,22.76100573,60.4132239,6.469009223,220.5091412,muskmelon
80,50,50,22.76100573,60.4132239,6.469009223,200.2837621,apple
82,52,52,22.97407547,60.4132239,6.560444896,201.9355362,apple
78,48,48,22.76100573,60.4132239,6.824981528,202.6555374,apple
85,51,51,22.97407547,60.4132239,6.462419175,203.9642476,apple
81,49,49,22.76100573,60.4132239,6.469009223,204.8640342,apple
83,53,53,22.97407547,60.4132239,6.560444896,205.7173405,apple
79,47,47,22.76100573,60.4132239,6.824981528,206.0550003,apple
80,50,50,22.97407547,60.4132239,6.462419175,207.3022937,apple
82,52,52,22.76100573,60.4132239,6.469009223,208.3248603,apple
78,48,48,22.97407547,60.4132239,6.560444896,209.6391117,apple
85,51,51,22.76100573,60.4132239,6.824981528,210.5091412,apple
81,49,49,22.97407547,60.4132239,6.462419175,211.5259657,apple
83,53,53,22.76100573,60.4132239,6.469009223,212.071499,apple
79,47,47,22.97407547,60.4132239,6.560444896,213.4742192,apple
80,50,50,22.76100573,60.4132239,6.824981528,214.9355362,apple
82,52,52,22.97407547,60.4132239,6.462419175,215.9642476,apple
78,48,48,22.76100573,60.4132239,6.469009223,216.0550003,apple
85,51,51,22.97407547,60.4132239,6.560444896,217.3022937,apple
81,49,49,22.76100573,60.4132239,6.824981528,218.3248603,apple
83,53,53,22.97407547,60.4132239,6.462419175,219.6391117,apple
79,47,47,22.76100573,60.4132239,6.469009223,220.5091412,apple
90,40,40,22.76100573,60.4132239,6.469009223,200.2837621,orange
92,42,42,22.97407547,60.4132239,6.560444896,201.9355362,orange
88,38,38,22.76100573,60.4132239,6.824981528,202.6555374,orange
91,41,41,22.97407547,60.4132239,6.462419175,203.9642476,orange
89,39,39,22.76100573,60.4132239,6.469009223,204.8640342,orange
93,43,43,22.97407547,60.4132239,6.560444896,205.7173405,orange
87,37,37,22.76100573,60.4132239,6.824981528,206.0550003,orange
90,40,40,22.97407547,60.4132239,6.462419175,207.3022937,orange
92,42,42,22.76100573,60.4132239,6.469009223,208.3248603,orange
88,38,38,22.97407547,60.4132239,6.560444896,209.6391117,orange
91,41,41,22.76100573,60.4132239,6.824981528,210.5091412,orange
89,39,39,22.97407547,60.4132239,6.462419175,211.5259657,orange
93,43,43,22.76100573,60.4132239,6.469009223,212.071499,orange
87,37,37,22.97407547,60.4132239,6.560444896,213.4742192,orange
90,40,40,22.76100573,60.4132239,6.824981528,214.9355362,orange
92,42,42,22.97407547,60.4132239,6.462419175,215.9642476,orange
88,38,38,22.76100573,60.4132239,6.469009223,216.0550003,orange
91,41,41,22.97407547,60.4132239,6.560444896,217.3022937,orange
89,39,39,22.76100573,60.4132239,6.824981528,218.3248603,orange
93,43,43,22.97407547,60.4132239,6.462419175,219.6391117,orange
87,37,37,22.76100573,60.4132239,6.469009223,220.5091412,orange
50,50,50,22.76100573,60.4132239,6.469009223,200.2837621,papaya
52,52,52,22.97407547,60.4132239,6.560444896,201.9355362,papaya
48,48,48,22.76100573,60.4132239,6.824981528,202.6555374,papaya
51,51,51,22.97407547,60.4132239,6.462419175,203.9642476,papaya
49,49,49,22.76100573,60.4132239,6.469009223,204.8640342,papaya
53,53,53,22.97407547,60.4132239,6.560444896,205.7173405,papaya
47,47,47,22.76100573,60.4132239,6.824981528,206.0550003,papaya
50,50,50,22.97407547,60.4132239,6.462419175,207.3022937,papaya
52,52,52,22.76100573,60.4132239,6.469009223,208.3248603,papaya
48,48,48,22.97407547,60.4132239,6.560444896,209.6391117,papaya
51,51,51,22.76100573,60.4132239,6.824981528,210.5091412,papaya
49,49,49,22.97407547,60.4132239,6.462419175,211.5259657,papaya
53,53,53,22.76100573,60.4132239,6.469009223,212.071499,papaya
47,47,47,22.97407547,60.4132239,6.560444896,213.4742192,papaya
50,50,50,22.76100573,60.4132239,6.824981528,214.9355362,papaya
52,52,52,22.97407547,60.4132239,6.462419175,215.9642476,papaya
48,48,48,22.76100573,60.4132239,6.469009223,216.0550003,papaya
51,51,51,22.97407547,60.4132239,6.560444896,217.3022937,papaya
49,49,49,22.76100573,60.4132239,6.824981528,218.3248603,papaya
53,53,53,22.97407547,60.4132239,6.462419175,219.6391117,papaya
47,47,47,22.76100573,60.4132239,6.469009223,220.5091412,papaya
60,60,60,22.76100573,60.4132239,6.469009223,200.2837621,coconut
62,62,62,22.97407547,60.4132239,6.560444896,201.9355362,coconut
58,58,58,22.76100573,60.4132239,6.824981528,202.6555374,coconut
61,61,61,22.97407547,60.4132239,6.462419175,203.9642476,coconut
59,59,59,22.76100573,60.4132239,6.469009223,204.8640342,coconut
63,63,63,22.97407547,60.4132239,6.560444896,205.7173405,coconut
57,57,57,22.76100573,60.4132239,6.824981528,206.0550003,coconut
60,60,60,22.97407547,60.4132239,6.462419175,207.3022937,coconut
62,62,62,22.76100573,60.4132239,6.469009223,208.3248603,coconut
58,58,58,22.97407547,60.4132239,6.560444896,209.6391117,coconut
61,61,61,22.76100573,60.4132239,6.824981528,210.5091412,coconut
59,59,59,22.97407547,60.4132239,6.462419175,211.5259657,coconut
63,63,63,22.76100573,60.4132239,6.469009223,212.071499,coconut
57,57,57,22.97407547,60.4132239,6.560444896,213.4742192,coconut
60,60,60,22.76100573,60.4132239,6.824981528,214.9355362,coconut
62,62,62,22.97407547,60.4132239,6.462419175,215.9642476,coconut
58,58,58,22.76100573,60.4132239,6.469009223,216.0550003,coconut
61,61,61,22.97407547,60.4132239,6.560444896,217.3022937,coconut
59,59,59,22.76100573,60.4132239,6.824981528,218.3248603,coconut
63,63,63,22.97407547,60.4132239,6.462419175,219.6391117,coconut
57,57,57,22.76100573,60.4132239,6.469009223,220.5091412,coconut
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,cotton
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,cotton
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,cotton
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,cotton
78,42,42,20.13017481,81.60487287,7.628472891,262.7173405,cotton
69,42,40,23.05804862,83.37011772,7.073453503,251.0550003,cotton
91,50,40,25.72488146,80.52720889,7.591135541,263.7174406,cotton
77,55,44,23.67798382,82.20902002,6.670175325,252.3022937,cotton
76,35,35,26.04418141,80.23658728,6.974564405,271.3248603,cotton
71,30,44,25.14174008,79.64890332,6.977443425,255.6391117,cotton
88,40,41,20.94792523,82.84216404,6.343144295,216.5091412,cotton
85,42,45,22.6748805,80.56947326,7.454503739,228.5259657,cotton
75,35,40,25.52823813,79.58354739,6.670887075,217.071499,cotton
78,42,42,23.00346093,82.67628175,7.07143199,253.4742192,cotton
69,30,44,20.13017481,81.60487287,6.670175325,202.9355362,cotton
90,42,43,23.05804862,83.37011772,7.628472891,263.9642476,cotton
85,58,41,25.72488146,80.52720889,7.073453503,251.0550003,cotton
60,55,44,23.67798382,82.20902002,7.591135541,252.3022937,cotton
74,35,40,26.04418141,80.23658728,6.974564405,271.3248603,cotton
78,42,42,25.14174008,79.64890332,6.977443425,255.6391117,cotton
90,40,40,22.76100573,60.4132239,6.469009223,200.2837621,jute
92,42,42,22.97407547,60.4132239,6.560444896,201.9355362,jute
